#source_audio	start	end	text	speaker	src_json
data\raw_audio\2ytfp_TYGmo.wav	0.28	6.319	Nhìn có vẻ rất là trang nghiêm. Đây quả thật là một cái ngôi lăng mổ hết sức là	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	6.319	10.32	độc đáo. Khi bước vào thì Huyết Review dù là trời nóng nhưng mà cảm thấy rất là	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	10.32	16.039	lạnh người bởi vì những cái nắm mồ nó có vẻ là rất là chua xót. Kính chào quý vị	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	16.039	19.8	đã quay trở lại với Huế Review. Quý vị và các bạn thân mến, hiện tại thì Huế	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	19.8	24.48	Review đang có mặt tại chùa Từ Hiếu, một cái ngôi chùa rất đặc biệt. Tuy nhiên	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	24.48	27.92	thì do cái tình hình dịch bệnh chính vì vậy mà chùa hiện tại là đang đóng cửa.	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	27.92	33.04	Tuy nhiên thì hôm nay Huế Review chỉ là muốn đến đây để dẫn quý vị đến thăm một	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	33.04	38.32	cái ngôi lăng mổ rất là đặc biệt có thể gọi là độc đáo nhất Việt Nam hiện nay mà	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	38.32	42.2	cũng ít người biết đến. Đó chính là một cái khu mộ liên quan tới những cái vị	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	42.2	46.239	quang thái giám của triều Nguyễn. Thì nếu như mà muốn đến cái khu mộ đó thì	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	46.239	50.6	chúng ta phải đi qua cái khu vực của chùa Tử Hiếu. Chính vì vậy mà Huế Review	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	50.6	55.199	cũng đã xin phép để đi vào cái khu vực này luôn. Thì cũng không để quý vị chờ	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	55.199	59.239	lâu. À mời quý vị cùng theo chân Huy Review chúng ta cùng khám phá cái ngôi	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	59.239	62.719	lăng mộ của các cái vị quan thái giám trề Nguyễn một cái ngôi lăng mộ được xem	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	62.719	66.4	là độc nhất vô nhĩ để khám phá xem có những cái điều ly kỳ, những cái bí ẩn gì	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	66.4	71.4	ở bên trong hay không. Xin mời quý vị. Vâng kính thưa quý vị, đây chính là cái	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	71.4	76.32	cổng Tam Quang của chùa Từ Hiếu. Thì chùa Từ Hiếu cũng là một cái ngôi chùa	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	76.32	80.52	rất là nổi tiếng ở Huế. Tuy nhiên thì bây giờ chúng ta sẽ đi theo cái con	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	80.52	84.52	đường phía ngoài này để đi đến cái ngôi lăng mộ mà Huế Review muốn giới thiệu	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	84.52	88.479	cho quý vị. Đồng thời thì Huế Review cũng sẽ chia sẻ những cái câu chuyện	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	88.479	93.28	liên quan tới ngôi chùa này. Và nếu như quý vị có dịp thì quý vị cũng có thể đến	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	93.28	98.04	thăm ngôi chùa Từ Hiếu này luôn. Ở đây là những cái khung cảnh ở bên ngoài	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	98.04	101.92	khuôn viên của chùa. Thì ở đây quý vị thấy là chúng ta sẽ có một cái hồ Bá	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	101.92	107.119	Nguyệt. Và đây chính là một cái cửa tam quang nhìn rất là đẹp. Đấy, một cái cửa	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	107.119	112.36	tam quang rất là cổ kính. Bên này là có một cái hồ sen. Đây quý vị. Thì quan	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	112.36	117.079	cảnh bên trong chùa nếu như quý vị nào muốn Huế Review quay thì Huế Review sẽ	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	117.079	121.52	quay lại cái ngôi chùa này để quay chi tiết cho quý vị xem. Còn hôm nay thì Huế	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	121.52	125.52	Review chỉ muốn giới thiệu cho quý vị một cái ngôi lăng mộ rất là đặc biệt	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	125.52	129.8	liên quan tới những cái vị thái giám của Triều Nguyễn. Đồng thời thì cũng chia sẻ	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	129.8	134.319	những cái câu chuyện hết sức là ly kỳ liên quan đến những cái vị thái giám đó.	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	134.319	139.44	Để đi đến cái ngôi lăng mộ này thì quý vị thấy bên này chính là cái khu vực	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	139.44	145.519	chùa Từ Hiếu. Đấy, hiện tại thì khu vực chùa cũng đang đóng cửa rồi quý vị. Đó,	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	145.519	149.56	ở đây quý vị thấy cái tiểu cảnh hồ sen và một cái cầu đi ra nhìn rất là đẹp.	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	149.56	153.28	Đây, ở đây là có một cái con đường đi lên	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	153.28	159.28	thôi quý vị. Bây giờ chúng ta sẽ men theo cái con đường này để đi vào	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	159.28	166.4	khám phá cái ngôi lăng mộ của các vị quan thái giám ngày xưa.	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	166.4	171.56	Đây. Ở đây quý vị thấy là cái ngôi chùa bây giờ rất là thanh tịnh đấy. Và hiện	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	171.56	178.72	tại thì Huế Review cũng có là nghe những cái tiếng tụng kinh niệm Phật. Và ngôi	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	178.72	184.799	chùa này cũng gắn liền với một cái giai thoại cũng rất là ly kỳ. thời dưới thời	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	184.799	190.04	vua Tử Đức và lát thì Huế Review cũng sẽ chia sẻ cho quý vị nghe.	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	190.04	194.159	Thực sự thì đến cái ngôi chùa này thì bây giờ hiện tại Huy Ru cảm thấy tâm rất	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	194.159	199.64	là thanh tịnh thôi quý vị. Và xung quanh đây là những cái ngôi lăng mộ của những	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	199.64	206.64	cái vị trụ trì đấy. Những cái vị sư ngày xưa mà đã từng tu ở đây. Bên này là	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	206.64	211.68	chúng ta sẽ thấy một cái chiếc chuông đồng rất là lớn. Đó.	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	211.68	216.56	Và đây chính là cái con đường mà dẫn chúng ta đi lên cái ngôi lăng mộ của các	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	216.56	222.2	cái vị quan thái giám. Chắc có lẽ thì cũng có một số quý vị	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	222.2	226.599	trên kênh Huế Review đã từng nghe đến cái ngôi lăng mộ này và cũng đã từng đến	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	226.599	231.76	đây. Nhưng mà đa phần thì cũng rất ít người biết đến cái ngôi lăng mộ của các	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	231.76	235.64	cái vị quan thái giám giữa triều Nguyễn. Bởi vì những cái phần đời của họ hết sức	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
data\raw_audio\2ytfp_TYGmo.wav	235.64	242.319	là Chúa xót và những cái vị quan thái giám ngày xưa thì cũng rất ít khi được	@HUE	data\processed_transcripts\2ytfp_TYGmo.json
