audio_file,text,speaker
data\data_prepared\wavs\2ytfp_TYGmo_0001.wav,Nhìn có vẻ rất là trang nghiêm. Đây quả thật là một cái ngôi lăng mổ hết sức là,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0003.wav,lạnh người bởi vì những cái nắm mồ nó có vẻ là rất là chua xót. Kính chào quý vị,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0004.wav,"đã quay trở lại với Huế Review. Quý vị và các bạn thân mến, hiện tại thì Huế",@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0005.wav,"Review đang có mặt tại chùa Từ Hiếu, một cái ngôi chùa rất đặc biệt. Tuy nhiên",@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0006.wav,thì do cái tình hình dịch bệnh chính vì vậy mà chùa hiện tại là đang đóng cửa.,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0007.wav,Tuy nhiên thì hôm nay Huế Review chỉ là muốn đến đây để dẫn quý vị đến thăm một,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0008.wav,cái ngôi lăng mổ rất là đặc biệt có thể gọi là độc đáo nhất Việt Nam hiện nay mà,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0010.wav,quang thái giám của triều Nguyễn. Thì nếu như mà muốn đến cái khu mộ đó thì,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0011.wav,chúng ta phải đi qua cái khu vực của chùa Tử Hiếu. Chính vì vậy mà Huế Review,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0012.wav,cũng đã xin phép để đi vào cái khu vực này luôn. Thì cũng không để quý vị chờ,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0013.wav,lâu. À mời quý vị cùng theo chân Huy Review chúng ta cùng khám phá cái ngôi,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0014.wav,lăng mộ của các cái vị quan thái giám trề Nguyễn một cái ngôi lăng mộ được xem,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0015.wav,"là độc nhất vô nhĩ để khám phá xem có những cái điều ly kỳ, những cái bí ẩn gì",@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0016.wav,"ở bên trong hay không. Xin mời quý vị. Vâng kính thưa quý vị, đây chính là cái",@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0017.wav,cổng Tam Quang của chùa Từ Hiếu. Thì chùa Từ Hiếu cũng là một cái ngôi chùa,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0018.wav,rất là nổi tiếng ở Huế. Tuy nhiên thì bây giờ chúng ta sẽ đi theo cái con,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0019.wav,đường phía ngoài này để đi đến cái ngôi lăng mộ mà Huế Review muốn giới thiệu,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0020.wav,cho quý vị. Đồng thời thì Huế Review cũng sẽ chia sẻ những cái câu chuyện,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0021.wav,liên quan tới ngôi chùa này. Và nếu như quý vị có dịp thì quý vị cũng có thể đến,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0022.wav,thăm ngôi chùa Từ Hiếu này luôn. Ở đây là những cái khung cảnh ở bên ngoài,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0023.wav,khuôn viên của chùa. Thì ở đây quý vị thấy là chúng ta sẽ có một cái hồ Bá,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0025.wav,tam quang rất là cổ kính. Bên này là có một cái hồ sen. Đây quý vị. Thì quan,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0026.wav,cảnh bên trong chùa nếu như quý vị nào muốn Huế Review quay thì Huế Review sẽ,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0027.wav,quay lại cái ngôi chùa này để quay chi tiết cho quý vị xem. Còn hôm nay thì Huế,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0028.wav,Review chỉ muốn giới thiệu cho quý vị một cái ngôi lăng mộ rất là đặc biệt,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0029.wav,liên quan tới những cái vị thái giám của Triều Nguyễn. Đồng thời thì cũng chia sẻ,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0031.wav,Để đi đến cái ngôi lăng mộ này thì quý vị thấy bên này chính là cái khu vực,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0032.wav,"chùa Từ Hiếu. Đấy, hiện tại thì khu vực chùa cũng đang đóng cửa rồi quý vị. Đó,",@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0033.wav,ở đây quý vị thấy cái tiểu cảnh hồ sen và một cái cầu đi ra nhìn rất là đẹp.,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0034.wav,"Đây, ở đây là có một cái con đường đi lên",@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0035.wav,thôi quý vị. Bây giờ chúng ta sẽ men theo cái con đường này để đi vào,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0036.wav,khám phá cái ngôi lăng mộ của các vị quan thái giám ngày xưa.,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0037.wav,Đây. Ở đây quý vị thấy là cái ngôi chùa bây giờ rất là thanh tịnh đấy. Và hiện,@HUE
data\data_prepared\wavs\2ytfp_TYGmo_0038.wav,tại thì Huế Review cũng có là nghe những cái tiếng tụng kinh niệm Phật. Và ngôi,@HUE
