audio_file|text|speaker
wavs/XQRcF9k1pjg_0000.wav|đường vô sự huế quăn quăn, nó xanh đặc biệt như tránh hòa đồ|SPEAKER_00
wavs/XQRcF9k1pjg_0001.wav|thương em anh cùng muôn vô, sờ trung nhà hồ sờ phản tâm giang|SPEAKER_00
wavs/XQRcF9k1pjg_0002.wav|vâng, miễn chào quý vị đã quay lại với huế review|SPEAKER_00
wavs/XQRcF9k1pjg_0003.wav|quý vị và các bạn thân mến|SPEAKER_00
wavs/XQRcF9k1pjg_0004.wav|như cáo thơ lúc này huế review đã đọc|SPEAKER_00
wavs/XQRcF9k1pjg_0005.wav|thì chắc quý vị cũng đã biết được huế review đang ở khu vực nào|SPEAKER_00
wavs/XQRcF9k1pjg_0006.wav|và hôm nay thì huế review không phải giới thiệu cho quý vị về phá tâm giang|SPEAKER_00
wavs/XQRcF9k1pjg_0007.wav|tuy nhiên thì những con đường mà huế review hôm nay đi ngang thì nó cũng liên quan tới đâm phá này|SPEAKER_00
wavs/XQRcF9k1pjg_0008.wav|và hiện tại thì huế review đang ở khu vực xã vân an đây quý vị|SPEAKER_00
wavs/XQRcF9k1pjg_0009.wav|xã vân an thì thuộc huyện phù vang tỉnh thơ thiên huế|SPEAKER_00
wavs/XQRcF9k1pjg_0010.wav|và đây là những con đường có lẽ sẽ quen thuộc với một số quý vị khán giả trên kênh huy review|SPEAKER_00
wavs/XQRcF9k1pjg_0011.wav|và hôm nay thì huy review sẽ dẫn quý vị đi từ vinh an lên vinh thanh và|SPEAKER_00
wavs/XQRcF9k1pjg_0012.wav|ngược dòng tam giang|SPEAKER_00
wavs/XQRcF9k1pjg_0013.wav|chúng ta vượt qua câu trương hà|SPEAKER_00
wavs/XQRcF9k1pjg_0014.wav|sau đó chúng ta sẽ qua thị trận phú đa|SPEAKER_00
wavs/XQRcF9k1pjg_0015.wav|đầm thủy tú|SPEAKER_00
wavs/XQRcF9k1pjg_0016.wav|tổ tiếng của lăng, tức là thành phố mà ở đó có những ngôi lăng mồ được xây dựng bằng tiên tỳ chứ không|SPEAKER_00
wavs/XQRcF9k1pjg_0017.wav|phải là bằng tiên triều thôi quý vị|SPEAKER_00
wavs/XQRcF9k1pjg_0018.wav|bởi vì ở đây thì có rất nhiều kiêu bao sống ở nước ngoài|SPEAKER_00
wavs/XQRcF9k1pjg_0019.wav|và họ gợi tiền về để xây dựng những ngôi lăng mồ cho tổ tiếng cũng|SPEAKER_00
wavs/XQRcF9k1pjg_0020.wav|như là cho mình sau này|SPEAKER_00
wavs/XQRcF9k1pjg_0021.wav|và như quý vị đã thấy thì đường xã ở khu vực này bây giờ cũng đã thay đổi hơn trước kia rất là nhiều|SPEAKER_00
wavs/XQRcF9k1pjg_0022.wav|đường xã được bế tông hóa và lại nhừa, nhìn có vẻ rất là đẹp thưa quý vị|SPEAKER_00
wavs/XQRcF9k1pjg_0023.wav|ngay xưa thì ở đây chỉ là những vùng cạc trắng và bây giờ thì nó đã thay đổi và được|SPEAKER_00
wavs/XQRcF9k1pjg_0024.wav|xây dựng rất là nhiều các công trình nhà ở|SPEAKER_00
wavs/XQRcF9k1pjg_0025.wav|cũng như các công trình về cửa hàng v.v|SPEAKER_00
wavs/XQRcF9k1pjg_0026.wav|và đời sống của ba con thì ở đây cũng rất chi là phát triển so với trước kia|SPEAKER_00
wavs/XQRcF9k1pjg_0027.wav|như quý vị đã biết thì phã tâm giang là một phã nằm trong hề|SPEAKER_00
wavs/XQRcF9k1pjg_0028.wav|đâm phã tâm giang cao hai|SPEAKER_00
wavs/XQRcF9k1pjg_0029.wav|và diễn tích của phã tâm giang tới năm mươi hai km|SPEAKER_00
wavs/XQRcF9k1pjg_0030.wav|và nó trải dài từ cửa sông âu lâu đến cửa sông hương|SPEAKER_00
wavs/XQRcF9k1pjg_0031.wav|thuộc hai huyện phong điền và quảng điền của thứ thứ huế|SPEAKER_00
wavs/XQRcF9k1pjg_0032.wav|và nó kéo về tới xã vân hiền|SPEAKER_00
wavs/XQRcF9k1pjg_0033.wav|đến cửa tư hiền của huyện phủ lọc|SPEAKER_00
wavs/XQRcF9k1pjg_0034.wav|và phá tâm giang được xem như là một phá lớn của việt nam|SPEAKER_00
wavs/XQRcF9k1pjg_0035.wav|và nó chiếm khoảng mười một diện tích đâm phá vembur của cả nước|SPEAKER_00
wavs/XQRcF9k1pjg_0036.wav|và đây chính là con đường vem phá tâm giang thế quý vị|SPEAKER_00
wavs/XQRcF9k1pjg_0037.wav|và chúng ta chỉ có duy nhất một cái con đường này nằm ở phía bên này mà thôi|SPEAKER_00
wavs/XQRcF9k1pjg_0038.wav|chúng ta đi ven phá|SPEAKER_00
wavs/XQRcF9k1pjg_0039.wav|thì hiện tại huy riviu đang đi lại ngược chiều|SPEAKER_00
wavs/XQRcF9k1pjg_0040.wav|so với phá tâm giang|SPEAKER_00
wavs/XQRcF9k1pjg_0041.wav|và chúng ta sẽ ngược lên xã vân thanh|SPEAKER_00
wavs/XQRcF9k1pjg_0042.wav|sau đó thì chúng ta sẽ qua cao trường hà|SPEAKER_00
wavs/XQRcF9k1pjg_0043.wav|ở đây quý vị cũng có thể thấy là|SPEAKER_00
wavs/XQRcF9k1pjg_0044.wav|nhà cửa của ba con thì cũng|SPEAKER_00
wavs/XQRcF9k1pjg_0045.wav|nhiêu dân rồi quý vị|SPEAKER_00
wavs/XQRcF9k1pjg_0046.wav|trước kia thì ở đây chỉ là những vùng đất chặt chặn hoang vu|SPEAKER_00
wavs/XQRcF9k1pjg_0047.wav|nhưng mà bây giờ thì công trình nhà ở được xây dựng|SPEAKER_00
wavs/XQRcF9k1pjg_0048.wav|và mọc sáng sẵn nhau|SPEAKER_00
wavs/XQRcF9k1pjg_0049.wav|đây cũng là một cái tỉnh hiệu đáng mừng|SPEAKER_00
wavs/XQRcF9k1pjg_0050.wav|bởi vì cuộc sống của ba con thì bây giờ nó là khá|SPEAKER_00
wavs/XQRcF9k1pjg_0051.wav|khá xứa và nó khá hướng dẫn rất là nhiều rồi|SPEAKER_00
wavs/XQRcF9k1pjg_0052.wav|ở đây thì ba con cũng|SPEAKER_00
wavs/XQRcF9k1pjg_0053.wav|có những cái nhà là trong rau màu|SPEAKER_00
wavs/XQRcF9k1pjg_0054.wav|rồi cũng có|SPEAKER_00
wavs/XQRcF9k1pjg_0055.wav|một số hồ bà con là trong lúa|SPEAKER_00
wavs/XQRcF9k1pjg_0056.wav|tuy nhiên thì đây là những xã ven biển và ven phá|SPEAKER_00
wavs/XQRcF9k1pjg_0057.wav|vì vậy thì cái ngăn nghề chính đó chính là nghề biển và nghề|SPEAKER_00
wavs/XQRcF9k1pjg_0058.wav|đạnh bắc thủy hải sản thưa quý vị|SPEAKER_00
wavs/XQRcF9k1pjg_0059.wav|còn một số ba con thì núi trong thủy hải sản|SPEAKER_00
wavs/XQRcF9k1pjg_0060.wav|ví dụ như tôm, rồi cả bực, v.v|SPEAKER_00
wavs/XQRcF9k1pjg_0061.wav|thì ở đây cũng có rất nhiều ba con sống bằng cái nghề sống nước|SPEAKER_00
wavs/XQRcF9k1pjg_0062.wav|và ác hẳn thì quý vị cũng đã biết rằng là thường thì ở trên phải tâm giang thì bà con hoạt|SPEAKER_00
wavs/XQRcF9k1pjg_0063.wav|động chờ nổi rất là nhiều|SPEAKER_00
wavs/XQRcF9k1pjg_0064.wav|và chờ ở đây thì nó không giống như cả cái chờ miền tây, cả cái chờ nổi ở miền tây rất là lớn|SPEAKER_00
wavs/XQRcF9k1pjg_0065.wav|mà chỉ là những cái chờ tư pháp khoảng bốnnăm giờ sáng thì bà con và bốn bạn thuê hải sản mà thôi|SPEAKER_00
wavs/XQRcF9k1pjg_0066.wav|và như video trước mà huyện đại viêu cũng đã quay cho quý vị xem ở trời nội ngư mị thành|SPEAKER_00
wavs/XQRcF9k1pjg_0067.wav|thì bốn giờ sáng, ba con đã bắt đầu hoạt động rồi|SPEAKER_00
wavs/XQRcF9k1pjg_0068.wav|buôn bán, rồi trao đổi giá thương ở khu vực đồng phá|SPEAKER_00
wavs/XQRcF9k1pjg_0069.wav|đây thì nó thuộc địa phần của xã vinh thanh rồi quý vị|SPEAKER_00
