phase,utt_id,generated_file,reference_file,generated_duration_sec,reference_duration_sec
phase1_best,05_0193_s193,phase1_best/generated/05_0193_s193.wav,phase1_best/reference/05_0193_s193.wav,6.9600,6.2000
phase1_best,07_0217_s217,phase1_best/generated/07_0217_s217.wav,phase1_best/reference/07_0217_s217.wav,12.6800,10.5700
phase1_best,14_0171_s171,phase1_best/generated/14_0171_s171.wav,phase1_best/reference/14_0171_s171.wav,3.2000,1.9900
phase1_best,16_0095_s95,phase1_best/generated/16_0095_s95.wav,phase1_best/reference/16_0095_s95.wav,11.8400,12.6500
phase1_best,4_fIYx-m0zQ_0092,phase1_best/generated/4_fIYx-m0zQ_0092.wav,phase1_best/reference/4_fIYx-m0zQ_0092.wav,9.1800,6.1990
phase1_best,XQRcF9k1pjg_0182,phase1_best/generated/XQRcF9k1pjg_0182.wav,phase1_best/reference/XQRcF9k1pjg_0182.wav,15.3800,4.1590
phase1_best,audio_00131,phase1_best/generated/audio_00131.wav,phase1_best/reference/audio_00131.wav,6.4800,4.6440
phase1_best,audio_01533,phase1_best/generated/audio_01533.wav,phase1_best/reference/audio_01533.wav,7.1800,6.9660
phase1_best,audio_09664,phase1_best/generated/audio_09664.wav,phase1_best/reference/audio_09664.wav,7.6400,7.8948
phase1_best,audio_12744,phase1_best/generated/audio_12744.wav,phase1_best/reference/audio_12744.wav,3.9400,4.0868
phase1_best,gFVP-BxwbCU_0193,phase1_best/generated/gFVP-BxwbCU_0193.wav,phase1_best/reference/gFVP-BxwbCU_0193.wav,19.5200,5.2400
phase1_best,r04R2nOFkA4_0212,phase1_best/generated/r04R2nOFkA4_0212.wav,phase1_best/reference/r04R2nOFkA4_0212.wav,13.4800,5.5200
phase2_best,10_0271_s271,phase2_best/generated/10_0271_s271.wav,phase2_best/reference/10_0271_s271.wav,18.1800,16.0600
phase2_best,14_0036_s36,phase2_best/generated/14_0036_s36.wav,phase2_best/reference/14_0036_s36.wav,7.1000,4.6700
phase2_best,99Tanm9dhvc_0227,phase2_best/generated/99Tanm9dhvc_0227.wav,phase2_best/reference/99Tanm9dhvc_0227.wav,19.9600,6.1200
phase2_best,Pc6OB26aMFg_0037,phase2_best/generated/Pc6OB26aMFg_0037.wav,phase2_best/reference/Pc6OB26aMFg_0037.wav,12.1000,3.9590
phase2_best,XQRcF9k1pjg_0252,phase2_best/generated/XQRcF9k1pjg_0252.wav,phase2_best/reference/XQRcF9k1pjg_0252.wav,12.6000,5.5590
phase2_best,audio_02464,phase2_best/generated/audio_02464.wav,phase2_best/reference/audio_02464.wav,5.0600,4.5511
phase2_best,audio_05553,phase2_best/generated/audio_05553.wav,phase2_best/reference/audio_05553.wav,5.3800,6.1301
phase2_best,audio_09948,phase2_best/generated/audio_09948.wav,phase2_best/reference/audio_09948.wav,9.8200,8.2663
phase2_best,audio_11709,phase2_best/generated/audio_11709.wav,phase2_best/reference/audio_11709.wav,4.8000,4.7369
phase2_best,audio_14850,phase2_best/generated/audio_14850.wav,phase2_best/reference/audio_14850.wav,7.5400,6.5945
phase2_best,gFVP-BxwbCU_0024,phase2_best/generated/gFVP-BxwbCU_0024.wav,phase2_best/reference/gFVP-BxwbCU_0024.wav,8.1000,6.6010
phase2_best,vOOql70PN8E_0069,phase2_best/generated/vOOql70PN8E_0069.wav,phase2_best/reference/vOOql70PN8E_0069.wav,9.8800,6.6000
phase3_best,10_0237_s237,phase3_best/generated/10_0237_s237.wav,phase3_best/reference/10_0237_s237.wav,4.2800,2.7900
phase3_best,10_0286_s286,phase3_best/generated/10_0286_s286.wav,phase3_best/reference/10_0286_s286.wav,10.3600,8.5500
phase3_best,99Tanm9dhvc_0089,phase3_best/generated/99Tanm9dhvc_0089.wav,phase3_best/reference/99Tanm9dhvc_0089.wav,14.4800,6.4000
phase3_best,audio_01801,phase3_best/generated/audio_01801.wav,phase3_best/reference/audio_01801.wav,8.2600,9.0094
phase3_best,audio_08435,phase3_best/generated/audio_08435.wav,phase3_best/reference/audio_08435.wav,4.3000,4.2725
phase3_best,audio_11723,phase3_best/generated/audio_11723.wav,phase3_best/reference/audio_11723.wav,8.6200,8.5450
phase3_best,fhnrbv8c_7Y_0103,phase3_best/generated/fhnrbv8c_7Y_0103.wav,phase3_best/reference/fhnrbv8c_7Y_0103.wav,15.2400,6.4000
phase3_best,fhnrbv8c_7Y_0173,phase3_best/generated/fhnrbv8c_7Y_0173.wav,phase3_best/reference/fhnrbv8c_7Y_0173.wav,13.0800,4.3600
phase3_best,qyannyc5FeA_0086,phase3_best/generated/qyannyc5FeA_0086.wav,phase3_best/reference/qyannyc5FeA_0086.wav,18.3800,4.8800
phase3_best,qyannyc5FeA_0169,phase3_best/generated/qyannyc5FeA_0169.wav,phase3_best/reference/qyannyc5FeA_0169.wav,21.3800,5.7190
phase3_best,r04R2nOFkA4_0185,phase3_best/generated/r04R2nOFkA4_0185.wav,phase3_best/reference/r04R2nOFkA4_0185.wav,15.8400,5.4400
phase3_best,rCsV8trcKqI_0067,phase3_best/generated/rCsV8trcKqI_0067.wav,phase3_best/reference/rCsV8trcKqI_0067.wav,8.4800,8.5200
